patch_filename,image_name,x,y,i,j,width,height,overlapping_512_patches
A4_size_1024_0_2048.png,A4,0,2048,0,2,1024,1024,"A4_size_512_0_2560.png, A4_size_512_512_2048.png, A4_size_512_512_2560.png"
A4_size_1024_0_3072.png,A4,0,3072,0,3,1024,1024,"A4_size_512_0_3072.png, A4_size_512_0_3584.png, A4_size_512_512_3072.png, A4_size_512_512_3584.png"
A4_size_1024_0_4096.png,A4,0,4096,0,4,1024,1024,"A4_size_512_0_4096.png, A4_size_512_512_4096.png, A4_size_512_512_4608.png"
A4_size_1024_0_5120.png,A4,0,5120,0,5,1024,1024,"A4_size_512_0_5120.png, A4_size_512_512_5120.png"
A4_size_1024_1024_2048.png,A4,1024,2048,1,2,1024,1024,"A4_size_512_1024_2048.png, A4_size_512_1024_2560.png, A4_size_512_1536_2048.png, A4_size_512_1536_2560.png"
A4_size_1024_1024_3072.png,A4,1024,3072,1,3,1024,1024,"A4_size_512_1024_3072.png, A4_size_512_1024_3584.png, A4_size_512_1536_3072.png, A4_size_512_1536_3584.png"
A4_size_1024_1024_4096.png,A4,1024,4096,1,4,1024,1024,"A4_size_512_1024_4096.png, A4_size_512_1024_4608.png, A4_size_512_1536_4096.png, A4_size_512_1536_4608.png"
A4_size_1024_1024_5120.png,A4,1024,5120,1,5,1024,1024,"A4_size_512_1024_5120.png, A4_size_512_1536_5120.png"
A4_size_1024_2048_1024.png,A4,2048,1024,2,1,1024,1024,"A4_size_512_2048_1536.png, A4_size_512_2560_1536.png"
A4_size_1024_2048_2048.png,A4,2048,2048,2,2,1024,1024,"A4_size_512_2048_2048.png, A4_size_512_2048_2560.png, A4_size_512_2560_2048.png, A4_size_512_2560_2560.png"
A4_size_1024_2048_3072.png,A4,2048,3072,2,3,1024,1024,"A4_size_512_2048_3072.png, A4_size_512_2048_3584.png, A4_size_512_2560_3072.png, A4_size_512_2560_3584.png"
A4_size_1024_2048_4096.png,A4,2048,4096,2,4,1024,1024,"A4_size_512_2048_4096.png, A4_size_512_2048_4608.png, A4_size_512_2560_4096.png, A4_size_512_2560_4608.png"
A4_size_1024_2048_5120.png,A4,2048,5120,2,5,1024,1024,"A4_size_512_2048_5120.png, A4_size_512_2560_5120.png"
A4_size_1024_3072_1024.png,A4,3072,1024,3,1,1024,1024,"A4_size_512_3072_1536.png, A4_size_512_3584_1536.png"
A4_size_1024_3072_2048.png,A4,3072,2048,3,2,1024,1024,"A4_size_512_3072_2048.png, A4_size_512_3072_2560.png, A4_size_512_3584_2048.png, A4_size_512_3584_2560.png"
A4_size_1024_3072_3072.png,A4,3072,3072,3,3,1024,1024,"A4_size_512_3072_3072.png, A4_size_512_3072_3584.png, A4_size_512_3584_3072.png, A4_size_512_3584_3584.png"
A4_size_1024_3072_4096.png,A4,3072,4096,3,4,1024,1024,"A4_size_512_3072_4096.png, A4_size_512_3072_4608.png, A4_size_512_3584_4096.png, A4_size_512_3584_4608.png"
A4_size_1024_3072_5120.png,A4,3072,5120,3,5,1024,1024,"A4_size_512_3072_5120.png, A4_size_512_3584_5120.png"
A4_size_1024_4096_1024.png,A4,4096,1024,4,1,1024,1024,A4_size_512_4096_1536.png
A4_size_1024_4096_2048.png,A4,4096,2048,4,2,1024,1024,"A4_size_512_4096_2048.png, A4_size_512_4096_2560.png, A4_size_512_4608_2048.png, A4_size_512_4608_2560.png"
A4_size_1024_4096_3072.png,A4,4096,3072,4,3,1024,1024,"A4_size_512_4096_3072.png, A4_size_512_4096_3584.png, A4_size_512_4608_3072.png, A4_size_512_4608_3584.png"
A4_size_1024_4096_4096.png,A4,4096,4096,4,4,1024,1024,"A4_size_512_4096_4096.png, A4_size_512_4096_4608.png, A4_size_512_4608_4096.png, A4_size_512_4608_4608.png"
A4_size_1024_4096_5120.png,A4,4096,5120,4,5,1024,1024,"A4_size_512_4096_5120.png, A4_size_512_4608_5120.png"
A4_size_1024_5120_2048.png,A4,5120,2048,5,2,1024,1024,"A4_size_512_5120_2048.png, A4_size_512_5120_2560.png"
A4_size_1024_5120_3072.png,A4,5120,3072,5,3,1024,1024,"A4_size_512_5120_3072.png, A4_size_512_5120_3584.png"
A4_size_1024_5120_4096.png,A4,5120,4096,5,4,1024,1024,A4_size_512_5120_4096.png
