patch_filename,image_name,x,y,i,j,width,height,overlapping_512_patches
B2_size_1024_0_3072.png,B2,0,3072,0,3,1024,1024,B2_size_512_512_3584.png
B2_size_1024_0_4096.png,B2,0,4096,0,4,1024,1024,"B2_size_512_0_4608.png, B2_size_512_512_4096.png, B2_size_512_512_4608.png"
B2_size_1024_0_5120.png,B2,0,5120,0,5,1024,1024,"B2_size_512_0_5120.png, B2_size_512_0_5632.png, B2_size_512_512_5120.png, B2_size_512_512_5632.png"
B2_size_1024_0_6144.png,B2,0,6144,0,6,1024,1024,"B2_size_512_0_6144.png, B2_size_512_0_6656.png, B2_size_512_512_6144.png, B2_size_512_512_6656.png"
B2_size_1024_0_7168.png,B2,0,7168,0,7,1024,1024,"B2_size_512_0_7168.png, B2_size_512_0_7680.png, B2_size_512_512_7168.png, B2_size_512_512_7680.png"
B2_size_1024_0_8192.png,B2,0,8192,0,8,1024,1024,"B2_size_512_0_8192.png, B2_size_512_0_8704.png, B2_size_512_512_8192.png, B2_size_512_512_8704.png"
B2_size_1024_1024_3072.png,B2,1024,3072,1,3,1024,1024,B2_size_512_1024_3584.png
B2_size_1024_1024_4096.png,B2,1024,4096,1,4,1024,1024,"B2_size_512_1024_4096.png, B2_size_512_1024_4608.png, B2_size_512_1536_4096.png, B2_size_512_1536_4608.png"
B2_size_1024_1024_5120.png,B2,1024,5120,1,5,1024,1024,"B2_size_512_1024_5120.png, B2_size_512_1024_5632.png, B2_size_512_1536_5120.png, B2_size_512_1536_5632.png"
B2_size_1024_1024_6144.png,B2,1024,6144,1,6,1024,1024,"B2_size_512_1024_6144.png, B2_size_512_1024_6656.png, B2_size_512_1536_6144.png, B2_size_512_1536_6656.png"
B2_size_1024_1024_7168.png,B2,1024,7168,1,7,1024,1024,"B2_size_512_1024_7168.png, B2_size_512_1024_7680.png, B2_size_512_1536_7168.png, B2_size_512_1536_7680.png"
B2_size_1024_1024_8192.png,B2,1024,8192,1,8,1024,1024,"B2_size_512_1024_8192.png, B2_size_512_1024_8704.png, B2_size_512_1536_8192.png, B2_size_512_1536_8704.png"
B2_size_1024_2048_4096.png,B2,2048,4096,2,4,1024,1024,"B2_size_512_2048_4096.png, B2_size_512_2048_4608.png, B2_size_512_2560_4608.png"
B2_size_1024_2048_5120.png,B2,2048,5120,2,5,1024,1024,"B2_size_512_2048_5120.png, B2_size_512_2048_5632.png, B2_size_512_2560_5120.png, B2_size_512_2560_5632.png"
B2_size_1024_2048_6144.png,B2,2048,6144,2,6,1024,1024,"B2_size_512_2048_6144.png, B2_size_512_2048_6656.png, B2_size_512_2560_6144.png, B2_size_512_2560_6656.png"
B2_size_1024_2048_7168.png,B2,2048,7168,2,7,1024,1024,"B2_size_512_2048_7168.png, B2_size_512_2048_7680.png, B2_size_512_2560_7168.png, B2_size_512_2560_7680.png"
B2_size_1024_2048_8192.png,B2,2048,8192,2,8,1024,1024,"B2_size_512_2048_8192.png, B2_size_512_2048_8704.png, B2_size_512_2560_8192.png, B2_size_512_2560_8704.png"
B2_size_1024_3072_4096.png,B2,3072,4096,3,4,1024,1024,B2_size_512_3072_4608.png
B2_size_1024_3072_5120.png,B2,3072,5120,3,5,1024,1024,"B2_size_512_3072_5120.png, B2_size_512_3072_5632.png, B2_size_512_3584_5120.png, B2_size_512_3584_5632.png"
B2_size_1024_3072_6144.png,B2,3072,6144,3,6,1024,1024,"B2_size_512_3072_6144.png, B2_size_512_3072_6656.png, B2_size_512_3584_6144.png, B2_size_512_3584_6656.png"
B2_size_1024_3072_7168.png,B2,3072,7168,3,7,1024,1024,"B2_size_512_3072_7168.png, B2_size_512_3072_7680.png, B2_size_512_3584_7168.png, B2_size_512_3584_7680.png"
B2_size_1024_3072_8192.png,B2,3072,8192,3,8,1024,1024,"B2_size_512_3072_8192.png, B2_size_512_3072_8704.png, B2_size_512_3584_8192.png, B2_size_512_3584_8704.png"
B2_size_1024_4096_5120.png,B2,4096,5120,4,5,1024,1024,"B2_size_512_4096_5632.png, B2_size_512_4608_5632.png"
B2_size_1024_4096_6144.png,B2,4096,6144,4,6,1024,1024,"B2_size_512_4096_6656.png, B2_size_512_4608_6144.png, B2_size_512_4608_6656.png"
B2_size_1024_4096_7168.png,B2,4096,7168,4,7,1024,1024,"B2_size_512_4096_7168.png, B2_size_512_4096_7680.png, B2_size_512_4608_7168.png, B2_size_512_4608_7680.png"
B2_size_1024_4096_8192.png,B2,4096,8192,4,8,1024,1024,"B2_size_512_4096_8192.png, B2_size_512_4096_8704.png, B2_size_512_4608_8192.png, B2_size_512_4608_8704.png"
B2_size_1024_5120_6144.png,B2,5120,6144,5,6,1024,1024,"B2_size_512_5120_6144.png, B2_size_512_5120_6656.png, B2_size_512_5632_6656.png"
B2_size_1024_5120_7168.png,B2,5120,7168,5,7,1024,1024,"B2_size_512_5120_7168.png, B2_size_512_5120_7680.png, B2_size_512_5632_7168.png, B2_size_512_5632_7680.png"
B2_size_1024_5120_8192.png,B2,5120,8192,5,8,1024,1024,"B2_size_512_5120_8192.png, B2_size_512_5120_8704.png, B2_size_512_5632_8192.png, B2_size_512_5632_8704.png"
B2_size_1024_6144_7168.png,B2,6144,7168,6,7,1024,1024,B2_size_512_6144_7680.png
B2_size_1024_6144_8192.png,B2,6144,8192,6,8,1024,1024,"B2_size_512_6144_8192.png, B2_size_512_6656_8192.png, B2_size_512_6656_8704.png"
