patch_filename,image_name,x,y,i,j,width,height,overlapping_512_patches
C3_size_1024_0_2048.png,C3,0,2048,0,2,1024,1024,C3_size_512_512_2560.png
C3_size_1024_0_3072.png,C3,0,3072,0,3,1024,1024,C3_size_512_512_3072.png
C3_size_1024_1024_2048.png,C3,1024,2048,1,2,1024,1024,"C3_size_512_1024_2560.png, C3_size_512_1536_2560.png"
C3_size_1024_1024_3072.png,C3,1024,3072,1,3,1024,1024,"C3_size_512_1024_3072.png, C3_size_512_1536_3072.png, C3_size_512_1536_3584.png"
C3_size_1024_1024_4096.png,C3,1024,4096,1,4,1024,1024,C3_size_512_1536_4096.png
C3_size_1024_2048_2048.png,C3,2048,2048,2,2,1024,1024,"C3_size_512_2048_2560.png, C3_size_512_2560_2048.png, C3_size_512_2560_2560.png"
C3_size_1024_2048_3072.png,C3,2048,3072,2,3,1024,1024,"C3_size_512_2048_3072.png, C3_size_512_2048_3584.png, C3_size_512_2560_3072.png, C3_size_512_2560_3584.png"
C3_size_1024_2048_4096.png,C3,2048,4096,2,4,1024,1024,"C3_size_512_2048_4096.png, C3_size_512_2560_4096.png, C3_size_512_2560_4608.png"
C3_size_1024_3072_2048.png,C3,3072,2048,3,2,1024,1024,"C3_size_512_3072_2048.png, C3_size_512_3072_2560.png, C3_size_512_3584_2048.png, C3_size_512_3584_2560.png"
C3_size_1024_3072_3072.png,C3,3072,3072,3,3,1024,1024,"C3_size_512_3072_3072.png, C3_size_512_3072_3584.png, C3_size_512_3584_3072.png, C3_size_512_3584_3584.png"
C3_size_1024_3072_4096.png,C3,3072,4096,3,4,1024,1024,"C3_size_512_3072_4096.png, C3_size_512_3072_4608.png, C3_size_512_3584_4096.png, C3_size_512_3584_4608.png"
C3_size_1024_3072_5120.png,C3,3072,5120,3,5,1024,1024,C3_size_512_3584_5120.png
C3_size_1024_4096_1024.png,C3,4096,1024,4,1,1024,1024,"C3_size_512_4096_1536.png, C3_size_512_4608_1024.png, C3_size_512_4608_1536.png"
C3_size_1024_4096_2048.png,C3,4096,2048,4,2,1024,1024,"C3_size_512_4096_2048.png, C3_size_512_4096_2560.png, C3_size_512_4608_2048.png, C3_size_512_4608_2560.png"
C3_size_1024_4096_3072.png,C3,4096,3072,4,3,1024,1024,"C3_size_512_4096_3072.png, C3_size_512_4096_3584.png, C3_size_512_4608_3072.png, C3_size_512_4608_3584.png"
C3_size_1024_4096_4096.png,C3,4096,4096,4,4,1024,1024,"C3_size_512_4096_4096.png, C3_size_512_4096_4608.png, C3_size_512_4608_4096.png, C3_size_512_4608_4608.png"
C3_size_1024_4096_5120.png,C3,4096,5120,4,5,1024,1024,"C3_size_512_4096_5120.png, C3_size_512_4608_5120.png"
C3_size_1024_5120_1024.png,C3,5120,1024,5,1,1024,1024,"C3_size_512_5120_1024.png, C3_size_512_5120_1536.png, C3_size_512_5632_1024.png, C3_size_512_5632_1536.png"
C3_size_1024_5120_2048.png,C3,5120,2048,5,2,1024,1024,"C3_size_512_5120_2048.png, C3_size_512_5120_2560.png, C3_size_512_5632_2048.png, C3_size_512_5632_2560.png"
C3_size_1024_5120_3072.png,C3,5120,3072,5,3,1024,1024,"C3_size_512_5120_3072.png, C3_size_512_5120_3584.png, C3_size_512_5632_3072.png, C3_size_512_5632_3584.png"
C3_size_1024_5120_4096.png,C3,5120,4096,5,4,1024,1024,"C3_size_512_5120_4096.png, C3_size_512_5120_4608.png, C3_size_512_5632_4096.png, C3_size_512_5632_4608.png"
C3_size_1024_5120_5120.png,C3,5120,5120,5,5,1024,1024,C3_size_512_5120_5120.png
C3_size_1024_6144_3072.png,C3,6144,3072,6,3,1024,1024,"C3_size_512_6144_3072.png, C3_size_512_6144_3584.png"
C3_size_1024_6144_4096.png,C3,6144,4096,6,4,1024,1024,C3_size_512_6144_4096.png
