patch_filename,image_name,x,y,i,j,width,height,overlapping_512_patches
D6_size_1024_1024_2048.png,D6,1024,2048,1,2,1024,1024,D6_size_512_1536_2560.png
D6_size_1024_1024_3072.png,D6,1024,3072,1,3,1024,1024,"D6_size_512_1536_3072.png, D6_size_512_1536_3584.png"
D6_size_1024_1024_4096.png,D6,1024,4096,1,4,1024,1024,D6_size_512_1536_4096.png
D6_size_1024_2048_2048.png,D6,2048,2048,2,2,1024,1024,"D6_size_512_2048_2560.png, D6_size_512_2560_2560.png"
D6_size_1024_2048_3072.png,D6,2048,3072,2,3,1024,1024,"D6_size_512_2048_3072.png, D6_size_512_2048_3584.png, D6_size_512_2560_3072.png, D6_size_512_2560_3584.png"
D6_size_1024_2048_4096.png,D6,2048,4096,2,4,1024,1024,"D6_size_512_2048_4096.png, D6_size_512_2048_4608.png, D6_size_512_2560_4096.png, D6_size_512_2560_4608.png"
D6_size_1024_2048_5120.png,D6,2048,5120,2,5,1024,1024,"D6_size_512_2048_5120.png, D6_size_512_2048_5632.png, D6_size_512_2560_5120.png, D6_size_512_2560_5632.png"
D6_size_1024_2048_6144.png,D6,2048,6144,2,6,1024,1024,"D6_size_512_2048_6144.png, D6_size_512_2048_6656.png, D6_size_512_2560_6144.png, D6_size_512_2560_6656.png"
D6_size_1024_2048_7168.png,D6,2048,7168,2,7,1024,1024,"D6_size_512_2048_7168.png, D6_size_512_2048_7680.png, D6_size_512_2560_7168.png, D6_size_512_2560_7680.png"
D6_size_1024_3072_2048.png,D6,3072,2048,3,2,1024,1024,"D6_size_512_3072_2560.png, D6_size_512_3584_2560.png"
D6_size_1024_3072_3072.png,D6,3072,3072,3,3,1024,1024,"D6_size_512_3072_3072.png, D6_size_512_3072_3584.png, D6_size_512_3584_3072.png, D6_size_512_3584_3584.png"
D6_size_1024_3072_4096.png,D6,3072,4096,3,4,1024,1024,"D6_size_512_3072_4096.png, D6_size_512_3072_4608.png, D6_size_512_3584_4096.png, D6_size_512_3584_4608.png"
D6_size_1024_3072_5120.png,D6,3072,5120,3,5,1024,1024,"D6_size_512_3072_5120.png, D6_size_512_3072_5632.png, D6_size_512_3584_5120.png, D6_size_512_3584_5632.png"
D6_size_1024_3072_6144.png,D6,3072,6144,3,6,1024,1024,"D6_size_512_3072_6144.png, D6_size_512_3072_6656.png, D6_size_512_3584_6144.png, D6_size_512_3584_6656.png"
D6_size_1024_3072_7168.png,D6,3072,7168,3,7,1024,1024,"D6_size_512_3072_7168.png, D6_size_512_3072_7680.png, D6_size_512_3584_7168.png, D6_size_512_3584_7680.png"
D6_size_1024_4096_2048.png,D6,4096,2048,4,2,1024,1024,"D6_size_512_4096_2560.png, D6_size_512_4608_2560.png"
D6_size_1024_4096_3072.png,D6,4096,3072,4,3,1024,1024,"D6_size_512_4096_3072.png, D6_size_512_4096_3584.png, D6_size_512_4608_3072.png, D6_size_512_4608_3584.png"
D6_size_1024_4096_4096.png,D6,4096,4096,4,4,1024,1024,"D6_size_512_4096_4096.png, D6_size_512_4096_4608.png, D6_size_512_4608_4096.png, D6_size_512_4608_4608.png"
D6_size_1024_4096_5120.png,D6,4096,5120,4,5,1024,1024,"D6_size_512_4096_5120.png, D6_size_512_4096_5632.png, D6_size_512_4608_5120.png, D6_size_512_4608_5632.png"
D6_size_1024_4096_6144.png,D6,4096,6144,4,6,1024,1024,"D6_size_512_4096_6144.png, D6_size_512_4096_6656.png, D6_size_512_4608_6144.png, D6_size_512_4608_6656.png"
D6_size_1024_4096_7168.png,D6,4096,7168,4,7,1024,1024,"D6_size_512_4096_7168.png, D6_size_512_4096_7680.png, D6_size_512_4608_7168.png, D6_size_512_4608_7680.png"
D6_size_1024_5120_2048.png,D6,5120,2048,5,2,1024,1024,"D6_size_512_5120_2560.png, D6_size_512_5632_2560.png"
D6_size_1024_5120_3072.png,D6,5120,3072,5,3,1024,1024,"D6_size_512_5120_3072.png, D6_size_512_5120_3584.png, D6_size_512_5632_3072.png, D6_size_512_5632_3584.png"
D6_size_1024_5120_4096.png,D6,5120,4096,5,4,1024,1024,"D6_size_512_5120_4096.png, D6_size_512_5120_4608.png, D6_size_512_5632_4096.png, D6_size_512_5632_4608.png"
D6_size_1024_5120_5120.png,D6,5120,5120,5,5,1024,1024,"D6_size_512_5120_5120.png, D6_size_512_5120_5632.png, D6_size_512_5632_5120.png, D6_size_512_5632_5632.png"
D6_size_1024_5120_6144.png,D6,5120,6144,5,6,1024,1024,"D6_size_512_5120_6144.png, D6_size_512_5120_6656.png, D6_size_512_5632_6144.png, D6_size_512_5632_6656.png"
D6_size_1024_5120_7168.png,D6,5120,7168,5,7,1024,1024,"D6_size_512_5120_7168.png, D6_size_512_5120_7680.png, D6_size_512_5632_7168.png, D6_size_512_5632_7680.png"
D6_size_1024_6144_2048.png,D6,6144,2048,6,2,1024,1024,"D6_size_512_6144_2560.png, D6_size_512_6656_2560.png"
D6_size_1024_6144_3072.png,D6,6144,3072,6,3,1024,1024,"D6_size_512_6144_3072.png, D6_size_512_6144_3584.png, D6_size_512_6656_3072.png, D6_size_512_6656_3584.png"
D6_size_1024_6144_4096.png,D6,6144,4096,6,4,1024,1024,"D6_size_512_6144_4096.png, D6_size_512_6144_4608.png, D6_size_512_6656_4096.png, D6_size_512_6656_4608.png"
D6_size_1024_6144_5120.png,D6,6144,5120,6,5,1024,1024,"D6_size_512_6144_5120.png, D6_size_512_6144_5632.png, D6_size_512_6656_5120.png, D6_size_512_6656_5632.png"
D6_size_1024_6144_6144.png,D6,6144,6144,6,6,1024,1024,"D6_size_512_6144_6144.png, D6_size_512_6144_6656.png, D6_size_512_6656_6144.png, D6_size_512_6656_6656.png"
D6_size_1024_6144_7168.png,D6,6144,7168,6,7,1024,1024,"D6_size_512_6144_7168.png, D6_size_512_6144_7680.png, D6_size_512_6656_7168.png, D6_size_512_6656_7680.png"
D6_size_1024_7168_3072.png,D6,7168,3072,7,3,1024,1024,"D6_size_512_7168_3072.png, D6_size_512_7168_3584.png"
D6_size_1024_7168_6144.png,D6,7168,6144,7,6,1024,1024,D6_size_512_7168_6656.png
