patch_filename,image_name,x,y,i,j,width,height,points
A3_size_512_1024_2048.png,A3,1024,2048,2,4,512,512,8x12
A3_size_512_1024_2560.png,A3,1024,2560,2,5,512,512,"8x13, 7x14, 8x14"
A3_size_512_1024_3072.png,A3,1024,3072,2,6,512,512,"6x15, 8x15, 7x15, 7x16, 8x16, 6x17, 7x17, 8x17"
A3_size_512_1024_3584.png,A3,1024,3584,2,7,512,512,"7x18, 6x18, 8x18, 8x19, 7x19, 6x19"
A3_size_512_1024_4096.png,A3,1024,4096,2,8,512,512,"6x20, 7x20, 8x20, 7x21, 6x21, 8x21, 7x22"
A3_size_512_1024_4608.png,A3,1024,4608,2,9,512,512,"8x22, 7x23, 8x23, 7x24"
A3_size_512_1024_5120.png,A3,1024,5120,2,10,512,512,"6x26, 7x26, 8x26"
A3_size_512_1536_2048.png,A3,1536,2048,3,4,512,512,"10x12, 9x12"
A3_size_512_1536_2560.png,A3,1536,2560,3,5,512,512,"10x13, 9x13, 10x14, 9x14"
A3_size_512_1536_3072.png,A3,1536,3072,3,6,512,512,"10x15, 9x15, 10x16, 9x16, 10x17, 9x17"
A3_size_512_1536_3584.png,A3,1536,3584,3,7,512,512,"10x18, 9x18, 10x19, 9x19"
A3_size_512_1536_4096.png,A3,1536,4096,3,8,512,512,"10x20, 9x20, 10x21, 9x21, 10x22, 9x22"
A3_size_512_1536_4608.png,A3,1536,4608,3,9,512,512,"10x23, 9x23, 9x24, 10x24"
A3_size_512_1536_5120.png,A3,1536,5120,3,10,512,512,"10x25, 9x25"
A3_size_512_2048_2048.png,A3,2048,2048,4,4,512,512,"11x12, 12x12"
A3_size_512_2048_2560.png,A3,2048,2560,4,5,512,512,"11x13, 12x13, 11x14, 12x14"
A3_size_512_2048_3072.png,A3,2048,3072,4,6,512,512,"11x15, 12x15, 11x16, 12x16, 11x17, 12x17"
A3_size_512_2048_3584.png,A3,2048,3584,4,7,512,512,"11x18, 12x18, 12x19"
A3_size_512_2048_4096.png,A3,2048,4096,4,8,512,512,"11x20, 12x20, 11x21, 12x21, 11x22"
A3_size_512_2048_4608.png,A3,2048,4608,4,9,512,512,"12x22, 11x23, 12x23, 11x24, 12x24"
A3_size_512_2048_5120.png,A3,2048,5120,4,10,512,512,"11x25, 12x25, 12x26"
A3_size_512_2048_5632.png,A3,2048,5632,4,11,512,512,12x27
A3_size_512_2560_2048.png,A3,2560,2048,5,4,512,512,"15x11, 15x12, 14x12, 13x12"
A3_size_512_2560_2560.png,A3,2560,2560,5,5,512,512,"15x13, 14x13, 13x13, 15x14, 14x14, 13x14"
A3_size_512_2560_3072.png,A3,2560,3072,5,6,512,512,"15x15, 14x15, 13x15, 15x16, 14x16, 13x16, 14x17, 15x17, 13x17"
A3_size_512_2560_3584.png,A3,2560,3584,5,7,512,512,"15x18, 14x18, 13x18, 15x19, 13x19, 14x19"
A3_size_512_2560_4096.png,A3,2560,4096,5,8,512,512,"13x20, 14x20, 15x20, 13x21, 14x21, 15x21, 15x22, 14x22"
A3_size_512_2560_4608.png,A3,2560,4608,5,9,512,512,"13x22, 15x23, 14x23, 13x23, 15x24, 13x24, 14x24"
A3_size_512_2560_5120.png,A3,2560,5120,5,10,512,512,"13x25, 14x25, 15x25, 15x26, 13x26, 14x26"
A3_size_512_2560_5632.png,A3,2560,5632,5,11,512,512,"15x27, 13x27, 14x27"
A3_size_512_3072_2048.png,A3,3072,2048,6,4,512,512,"17x11, 16x11, 17x12, 16x12"
A3_size_512_3072_2560.png,A3,3072,2560,6,5,512,512,"17x13, 16x13, 17x14, 16x14"
A3_size_512_3072_3072.png,A3,3072,3072,6,6,512,512,"17x15, 16x15, 17x16, 16x16, 17x17, 16x17"
A3_size_512_3072_3584.png,A3,3072,3584,6,7,512,512,"17x18, 16x18, 17x19, 16x19"
A3_size_512_3072_4096.png,A3,3072,4096,6,8,512,512,"17x20, 16x20, 16x21, 17x21, 17x22, 16x22"
A3_size_512_3072_4608.png,A3,3072,4608,6,9,512,512,"17x23, 16x23, 17x24, 16x24"
A3_size_512_3072_5120.png,A3,3072,5120,6,10,512,512,"16x25, 17x25, 17x26, 16x26"
A3_size_512_3072_5632.png,A3,3072,5632,6,11,512,512,"17x27, 16x27"
A3_size_512_3584_2048.png,A3,3584,2048,7,4,512,512,"19x11, 18x11, 18x12, 19x12"
A3_size_512_3584_2560.png,A3,3584,2560,7,5,512,512,"19x13, 18x13, 18x14, 19x14"
A3_size_512_3584_3072.png,A3,3584,3072,7,6,512,512,"18x15, 19x15, 19x16, 18x16, 19x17, 18x17"
A3_size_512_3584_3584.png,A3,3584,3584,7,7,512,512,"18x18, 19x18, 19x19, 18x19"
