patch_filename,image_name,x,y,i,j,width,height,points
B5_size_512_0_6656.png,B5,0,6656,0,13,512,512,2x25
B5_size_512_512_3072.png,B5,512,3072,1,6,512,512,"4x12, 4x13"
B5_size_512_512_3584.png,B5,512,3584,1,7,512,512,4x14
B5_size_512_512_4096.png,B5,512,4096,1,8,512,512,"4x15, 4x16"
B5_size_512_512_4608.png,B5,512,4608,1,9,512,512,"4x17, 4x18"
B5_size_512_512_5120.png,B5,512,5120,1,10,512,512,"4x19, 4x20"
B5_size_512_512_5632.png,B5,512,5632,1,11,512,512,"4x21, 4x22, 3x22"
B5_size_512_512_6144.png,B5,512,6144,1,12,512,512,"3x23, 4x23"
B5_size_512_512_6656.png,B5,512,6656,1,13,512,512,"3x24, 4x24, 4x25, 3x25"
B5_size_512_1024_2048.png,B5,1024,2048,2,4,512,512,"6x8, 6x9"
B5_size_512_1024_2560.png,B5,1024,2560,2,5,512,512,"6x10, 5x10, 6x11, 5x11"
B5_size_512_1024_3072.png,B5,1024,3072,2,6,512,512,"6x12, 5x12, 6x13, 5x13"
B5_size_512_1024_3584.png,B5,1024,3584,2,7,512,512,"6x14, 5x14"
B5_size_512_1024_4096.png,B5,1024,4096,2,8,512,512,"6x15, 5x15, 6x16, 5x16"
B5_size_512_1024_4608.png,B5,1024,4608,2,9,512,512,"6x17, 5x17, 5x18, 6x18"
B5_size_512_1024_5120.png,B5,1024,5120,2,10,512,512,"6x19, 5x19, 6x20, 5x20"
B5_size_512_1024_5632.png,B5,1024,5632,2,11,512,512,"6x21, 5x21, 6x22, 5x22"
B5_size_512_1024_6144.png,B5,1024,6144,2,12,512,512,"5x23, 6x23"
B5_size_512_1024_6656.png,B5,1024,6656,2,13,512,512,"6x24, 5x24, 6x25, 5x25"
B5_size_512_1536_1024.png,B5,1536,1024,3,2,512,512,"7x6, 8x6"
B5_size_512_1536_1536.png,B5,1536,1536,3,3,512,512,7x7
B5_size_512_1536_2048.png,B5,1536,2048,3,4,512,512,"8x8, 7x8, 7x9, 8x9"
B5_size_512_1536_2560.png,B5,1536,2560,3,5,512,512,"7x10, 8x10, 7x11, 8x11"
B5_size_512_1536_3072.png,B5,1536,3072,3,6,512,512,"7x12, 8x12, 8x13, 7x13"
B5_size_512_1536_3584.png,B5,1536,3584,3,7,512,512,"7x14, 8x14, 8x15"
B5_size_512_1536_4096.png,B5,1536,4096,3,8,512,512,"7x15, 7x16, 8x16"
B5_size_512_1536_4608.png,B5,1536,4608,3,9,512,512,"7x17, 8x17, 7x18, 8x18"
B5_size_512_1536_5120.png,B5,1536,5120,3,10,512,512,"8x19, 7x19, 8x20, 7x20"
B5_size_512_1536_5632.png,B5,1536,5632,3,11,512,512,"8x21, 7x21, 7x22, 8x22"
B5_size_512_1536_6144.png,B5,1536,6144,3,12,512,512,"8x23, 7x23"
B5_size_512_1536_6656.png,B5,1536,6656,3,13,512,512,"7x24, 8x24, 7x25"
B5_size_512_2048_1536.png,B5,2048,1536,4,3,512,512,9x7
B5_size_512_2048_2048.png,B5,2048,2048,4,4,512,512,"9x8, 9x9"
B5_size_512_2048_2560.png,B5,2048,2560,4,5,512,512,"9x10, 9x11"
B5_size_512_2048_3072.png,B5,2048,3072,4,6,512,512,"9x12, 9x13"
B5_size_512_2048_4096.png,B5,2048,4096,4,8,512,512,9x15
B5_size_512_2048_4608.png,B5,2048,4608,4,9,512,512,"9x17, 9x18"
B5_size_512_2048_5120.png,B5,2048,5120,4,10,512,512,"9x19, 9x20"
B5_size_512_2048_5632.png,B5,2048,5632,4,11,512,512,"9x21, 9x22"
B5_size_512_2048_6144.png,B5,2048,6144,4,12,512,512,9x23
B5_size_512_2048_6656.png,B5,2048,6656,4,13,512,512,"9x24, 9x25, 8x25"
B5_size_512_2560_1536.png,B5,2560,1536,5,3,512,512,10x8
