patch_filename,image_name,x,y,i,j,width,height,points
C1_size_512_1024_4608.png,C1,1024,4608,2,9,512,512,6x18
C1_size_512_1024_5120.png,C1,1024,5120,2,10,512,512,"6x19, 5x19, 6x20"
C1_size_512_1536_4608.png,C1,1536,4608,3,9,512,512,"8x17, 7x17, 8x18, 7x18"
C1_size_512_1536_5120.png,C1,1536,5120,3,10,512,512,"8x19, 7x19, 8x20, 7x20"
C1_size_512_1536_5632.png,C1,1536,5632,3,11,512,512,8x21
C1_size_512_2048_4096.png,C1,2048,4096,4,8,512,512,"10x16, 9x16"
C1_size_512_2048_4608.png,C1,2048,4608,4,9,512,512,"10x17, 9x17, 10x18, 9x18"
C1_size_512_2048_5120.png,C1,2048,5120,4,10,512,512,"10x19, 9x19, 10x20, 9x20"
C1_size_512_2048_5632.png,C1,2048,5632,4,11,512,512,"10x21, 9x21, 10x22"
C1_size_512_2560_3584.png,C1,2560,3584,5,7,512,512,11x15
C1_size_512_2560_4096.png,C1,2560,4096,5,8,512,512,11x16
C1_size_512_2560_4608.png,C1,2560,4608,5,9,512,512,"11x17, 11x18"
C1_size_512_2560_5120.png,C1,2560,5120,5,10,512,512,"11x19, 11x20"
C1_size_512_2560_5632.png,C1,2560,5632,5,11,512,512,"11x21, 11x22"
C1_size_512_3072_3072.png,C1,3072,3072,6,6,512,512,13x13
C1_size_512_3072_3584.png,C1,3072,3584,6,7,512,512,"13x14, 12x14"
C1_size_512_3072_4096.png,C1,3072,4096,6,8,512,512,"12x15, 13x15, 13x16, 12x16"
C1_size_512_3072_4608.png,C1,3072,4608,6,9,512,512,"12x17, 13x17, 13x18, 12x18"
C1_size_512_3072_5120.png,C1,3072,5120,6,10,512,512,"13x19, 12x19, 13x20, 12x20"
C1_size_512_3072_5632.png,C1,3072,5632,6,11,512,512,"13x21, 12x21, 13x22"
C1_size_512_3072_6144.png,C1,3072,6144,6,12,512,512,"12x22, 12x23, 13x23"
C1_size_512_3584_3072.png,C1,3584,3072,7,6,512,512,"15x12, 14x12, 15x13, 14x13"
C1_size_512_3584_3584.png,C1,3584,3584,7,7,512,512,"15x14, 14x14, 14x15"
C1_size_512_3584_4096.png,C1,3584,4096,7,8,512,512,"15x15, 14x16, 15x16"
C1_size_512_3584_4608.png,C1,3584,4608,7,9,512,512,"15x17, 14x17, 14x18, 15x18"
C1_size_512_3584_5120.png,C1,3584,5120,7,10,512,512,"15x19, 14x19, 15x20, 14x20"
C1_size_512_3584_5632.png,C1,3584,5632,7,11,512,512,"15x21, 14x21, 15x22, 14x22"
C1_size_512_3584_6144.png,C1,3584,6144,7,12,512,512,"15x23, 14x23"
C1_size_512_3584_6656.png,C1,3584,6656,7,13,512,512,15x24
C1_size_512_4096_2560.png,C1,4096,2560,8,5,512,512,"16x11, 17x11"
C1_size_512_4096_3072.png,C1,4096,3072,8,6,512,512,"17x12, 16x12, 16x13, 17x13"
C1_size_512_4096_3584.png,C1,4096,3584,8,7,512,512,"16x14, 17x14, 16x15"
C1_size_512_4096_4096.png,C1,4096,4096,8,8,512,512,"17x15, 17x16, 16x16"
C1_size_512_4096_4608.png,C1,4096,4608,8,9,512,512,"16x17, 17x17, 16x18, 17x18"
C1_size_512_4096_5120.png,C1,4096,5120,8,10,512,512,"17x19, 16x19, 17x20, 16x20"
C1_size_512_4096_5632.png,C1,4096,5632,8,11,512,512,"17x21, 16x21, 16x22"
C1_size_512_4096_6144.png,C1,4096,6144,8,12,512,512,"17x22, 16x23, 17x23"
C1_size_512_4096_6656.png,C1,4096,6656,8,13,512,512,"16x24, 17x24, 17x25"
C1_size_512_4608_2560.png,C1,4608,2560,9,5,512,512,"18x10, 18x11"
C1_size_512_4608_3072.png,C1,4608,3072,9,6,512,512,"18x12, 18x13"
C1_size_512_4608_3584.png,C1,4608,3584,9,7,512,512,"18x14, 18x15"
C1_size_512_4608_4096.png,C1,4608,4096,9,8,512,512,18x16
C1_size_512_4608_4608.png,C1,4608,4608,9,9,512,512,"18x17, 18x18"
C1_size_512_4608_5120.png,C1,4608,5120,9,10,512,512,"18x19, 18x20"
C1_size_512_4608_5632.png,C1,4608,5632,9,11,512,512,"18x21, 18x22"
C1_size_512_4608_6144.png,C1,4608,6144,9,12,512,512,18x23
C1_size_512_4608_6656.png,C1,4608,6656,9,13,512,512,18x24
C1_size_512_5120_2560.png,C1,5120,2560,10,5,512,512,"20x10, 19x10, 20x11, 19x11"
C1_size_512_5120_3072.png,C1,5120,3072,10,6,512,512,"20x12, 19x12, 20x13, 19x13"
C1_size_512_5120_3584.png,C1,5120,3584,10,7,512,512,"20x14, 19x14, 19x15, 20x15"
C1_size_512_5120_4096.png,C1,5120,4096,10,8,512,512,"20x16, 19x16"
