patch_filename,image_name,x,y,i,j,width,height,points
F3_size_512_0_2048.png,F3,0,2048,0,4,512,512,"2x8, 2x9"
F3_size_512_0_2560.png,F3,0,2560,0,5,512,512,"2x10, 2x11"
F3_size_512_0_3072.png,F3,0,3072,0,6,512,512,"2x12, 2x13"
F3_size_512_0_3584.png,F3,0,3584,0,7,512,512,"2x14, 2x15"
F3_size_512_0_4096.png,F3,0,4096,0,8,512,512,2x16
F3_size_512_0_4608.png,F3,0,4608,0,9,512,512,"2x17, 2x18"
F3_size_512_512_1024.png,F3,512,1024,1,2,512,512,"4x6, 3x6"
F3_size_512_512_1536.png,F3,512,1536,1,3,512,512,"4x7, 3x7, 4x8"
F3_size_512_512_2048.png,F3,512,2048,1,4,512,512,"3x8, 4x9, 3x9"
F3_size_512_512_2560.png,F3,512,2560,1,5,512,512,"4x10, 3x10, 3x11, 4x11"
F3_size_512_512_3072.png,F3,512,3072,1,6,512,512,"4x12, 3x12, 3x13, 4x13"
F3_size_512_512_3584.png,F3,512,3584,1,7,512,512,"4x14, 3x14, 3x15, 4x15"
F3_size_512_512_4096.png,F3,512,4096,1,8,512,512,"4x16, 3x16"
F3_size_512_512_4608.png,F3,512,4608,1,9,512,512,"4x17, 3x17, 3x18, 4x18"
F3_size_512_512_5120.png,F3,512,5120,1,10,512,512,"4x19, 3x19, 3x20, 4x20"
F3_size_512_512_5632.png,F3,512,5632,1,11,512,512,"4x21, 4x22"
F3_size_512_512_6144.png,F3,512,6144,1,12,512,512,4x23
F3_size_512_512_6656.png,F3,512,6656,1,13,512,512,4x24
F3_size_512_512_7168.png,F3,512,7168,1,14,512,512,4x27
F3_size_512_512_7680.png,F3,512,7680,1,15,512,512,4x29
F3_size_512_512_8192.png,F3,512,8192,1,16,512,512,4x30
F3_size_512_512_8704.png,F3,512,8704,1,17,512,512,"4x31, 4x32"
F3_size_512_512_9216.png,F3,512,9216,1,18,512,512,4x33
F3_size_512_1024_0.png,F3,1024,0,2,0,512,512,6x2
F3_size_512_1024_512.png,F3,1024,512,2,1,512,512,"6x3, 6x4"
F3_size_512_1024_1024.png,F3,1024,1024,2,2,512,512,"6x5, 5x6, 6x6"
F3_size_512_1024_1536.png,F3,1024,1536,2,3,512,512,"5x7, 6x7"
F3_size_512_1024_2048.png,F3,1024,2048,2,4,512,512,"6x8, 5x8, 6x9, 5x9"
F3_size_512_1024_2560.png,F3,1024,2560,2,5,512,512,"6x10, 5x10, 6x11, 5x11"
F3_size_512_1024_3072.png,F3,1024,3072,2,6,512,512,"5x12, 6x12, 6x13, 5x13"
F3_size_512_1024_3584.png,F3,1024,3584,2,7,512,512,"5x14, 6x14, 6x15, 5x15"
F3_size_512_1024_4096.png,F3,1024,4096,2,8,512,512,"5x16, 6x16"
F3_size_512_1024_4608.png,F3,1024,4608,2,9,512,512,"6x17, 5x17, 6x18, 5x18"
F3_size_512_1024_5120.png,F3,1024,5120,2,10,512,512,"5x19, 6x19, 5x20, 6x20"
F3_size_512_1024_5632.png,F3,1024,5632,2,11,512,512,"6x21, 5x21, 6x22, 5x22"
F3_size_512_1024_6144.png,F3,1024,6144,2,12,512,512,"6x23, 5x23"
F3_size_512_1024_6656.png,F3,1024,6656,2,13,512,512,"5x24, 6x24, 6x25, 5x25"
F3_size_512_1024_7168.png,F3,1024,7168,2,14,512,512,"6x26, 5x26, 6x27, 5x27"
F3_size_512_1024_7680.png,F3,1024,7680,2,15,512,512,"6x28, 5x28, 6x29, 5x29"
F3_size_512_1024_8192.png,F3,1024,8192,2,16,512,512,"6x30, 5x30"
F3_size_512_1024_8704.png,F3,1024,8704,2,17,512,512,"6x31, 5x31, 5x32, 6x32"
F3_size_512_1024_9216.png,F3,1024,9216,2,18,512,512,"6x33, 5x33, 6x34, 5x34"
F3_size_512_1536_0.png,F3,1536,0,3,0,512,512,"8x2, 7x2"
F3_size_512_1536_512.png,F3,1536,512,3,1,512,512,"8x3, 7x3, 7x4, 8x4"
F3_size_512_1536_1024.png,F3,1536,1024,3,2,512,512,"8x5, 7x5, 8x6, 7x6"
F3_size_512_1536_1536.png,F3,1536,1536,3,3,512,512,"8x7, 7x7, 8x8"
F3_size_512_1536_2048.png,F3,1536,2048,3,4,512,512,"7x8, 7x9, 8x9"
F3_size_512_1536_2560.png,F3,1536,2560,3,5,512,512,"8x10, 7x10, 8x11, 7x11"
F3_size_512_1536_3072.png,F3,1536,3072,3,6,512,512,"8x12, 7x12, 8x13, 7x13"
F3_size_512_1536_3584.png,F3,1536,3584,3,7,512,512,"8x14, 7x14, 8x15, 7x15"
F3_size_512_1536_4096.png,F3,1536,4096,3,8,512,512,"8x16, 7x16"
F3_size_512_1536_4608.png,F3,1536,4608,3,9,512,512,"8x17, 7x17, 8x18, 7x18"
F3_size_512_1536_5120.png,F3,1536,5120,3,10,512,512,"8x19, 7x19, 8x20, 7x20"
F3_size_512_1536_5632.png,F3,1536,5632,3,11,512,512,"8x21, 7x21, 8x22, 7x22"
F3_size_512_1536_6144.png,F3,1536,6144,3,12,512,512,"8x23, 7x23"
F3_size_512_1536_6656.png,F3,1536,6656,3,13,512,512,"8x24, 7x24, 8x25, 7x25"
F3_size_512_1536_7168.png,F3,1536,7168,3,14,512,512,"7x26, 8x26, 8x27, 7x27"
F3_size_512_1536_7680.png,F3,1536,7680,3,15,512,512,"8x28, 7x28, 7x29, 8x29"
F3_size_512_1536_8192.png,F3,1536,8192,3,16,512,512,"8x30, 7x30"
F3_size_512_1536_8704.png,F3,1536,8704,3,17,512,512,"7x31, 8x31, 8x32, 7x32"
F3_size_512_1536_9216.png,F3,1536,9216,3,18,512,512,"8x33, 7x33, 7x34, 8x34"
F3_size_512_2048_512.png,F3,2048,512,4,1,512,512,"9x3, 9x4"
F3_size_512_2048_1024.png,F3,2048,1024,4,2,512,512,"9x5, 9x6"
F3_size_512_2048_1536.png,F3,2048,1536,4,3,512,512,"9x7, 9x8"
F3_size_512_2048_2048.png,F3,2048,2048,4,4,512,512,9x9
