patch_filename,image_name,x,y,i,j,width,height,points
G2_size_512_0_3072.png,G2,0,3072,0,6,512,512,2x13
G2_size_512_0_3584.png,G2,0,3584,0,7,512,512,"2x14, 2x15"
G2_size_512_0_4096.png,G2,0,4096,0,8,512,512,2x16
G2_size_512_0_4608.png,G2,0,4608,0,9,512,512,2x17
G2_size_512_0_5632.png,G2,0,5632,0,11,512,512,2x22
G2_size_512_512_2048.png,G2,512,2048,1,4,512,512,"4x9, 3x9"
G2_size_512_512_2560.png,G2,512,2560,1,5,512,512,"4x10, 3x10, 4x11, 3x11"
G2_size_512_512_3072.png,G2,512,3072,1,6,512,512,"4x12, 3x12, 4x13, 3x13"
G2_size_512_512_3584.png,G2,512,3584,1,7,512,512,"4x14, 3x14, 4x15, 3x15"
G2_size_512_512_4096.png,G2,512,4096,1,8,512,512,"4x16, 3x16"
G2_size_512_512_4608.png,G2,512,4608,1,9,512,512,"4x17, 3x17, 4x18, 3x18"
G2_size_512_512_5120.png,G2,512,5120,1,10,512,512,"4x19, 3x19, 4x20"
G2_size_512_512_5632.png,G2,512,5632,1,11,512,512,"4x21, 4x22, 3x22"
G2_size_512_1024_1536.png,G2,1024,1536,2,3,512,512,"5x8, 6x8"
G2_size_512_1024_2048.png,G2,1024,2048,2,4,512,512,"5x9, 6x9"
G2_size_512_1024_2560.png,G2,1024,2560,2,5,512,512,"5x10, 6x10, 5x11, 6x11"
G2_size_512_1024_3072.png,G2,1024,3072,2,6,512,512,"5x12, 6x12, 5x13, 6x13"
G2_size_512_1024_3584.png,G2,1024,3584,2,7,512,512,"5x14, 6x14, 5x15, 6x15"
G2_size_512_1024_4096.png,G2,1024,4096,2,8,512,512,"5x16, 6x16"
G2_size_512_1024_4608.png,G2,1024,4608,2,9,512,512,"5x17, 6x17, 5x18, 6x18"
G2_size_512_1024_5120.png,G2,1024,5120,2,10,512,512,"5x19, 6x19, 5x20, 6x20"
G2_size_512_1024_5632.png,G2,1024,5632,2,11,512,512,"5x21, 6x21, 5x22, 6x22"
G2_size_512_1024_6144.png,G2,1024,6144,2,12,512,512,"5x23, 6x23"
G2_size_512_1024_6656.png,G2,1024,6656,2,13,512,512,6x24
G2_size_512_1536_1536.png,G2,1536,1536,3,3,512,512,7x8
G2_size_512_1536_2048.png,G2,1536,2048,3,4,512,512,8x9
G2_size_512_1536_2560.png,G2,1536,2560,3,5,512,512,"7x10, 8x11, 7x11"
G2_size_512_1536_3072.png,G2,1536,3072,3,6,512,512,"8x12, 7x12, 8x13, 7x13"
G2_size_512_1536_3584.png,G2,1536,3584,3,7,512,512,"8x14, 7x14, 8x15, 7x15"
G2_size_512_1536_4096.png,G2,1536,4096,3,8,512,512,"8x16, 7x16"
G2_size_512_1536_4608.png,G2,1536,4608,3,9,512,512,"8x17, 7x17, 8x18, 7x18"
G2_size_512_1536_5120.png,G2,1536,5120,3,10,512,512,"8x19, 7x19, 7x20, 8x20"
G2_size_512_1536_5632.png,G2,1536,5632,3,11,512,512,"7x21, 8x21, 8x22, 7x22"
G2_size_512_1536_6144.png,G2,1536,6144,3,12,512,512,"8x23, 7x23"
G2_size_512_1536_6656.png,G2,1536,6656,3,13,512,512,"8x24, 7x24"
G2_size_512_2048_1536.png,G2,2048,1536,4,3,512,512,"9x7, 9x8"
G2_size_512_2048_2048.png,G2,2048,2048,4,4,512,512,9x9
G2_size_512_2048_2560.png,G2,2048,2560,4,5,512,512,"9x10, 9x11"
G2_size_512_2048_3072.png,G2,2048,3072,4,6,512,512,"9x12, 9x13"
G2_size_512_2048_3584.png,G2,2048,3584,4,7,512,512,"9x14, 9x15"
G2_size_512_2048_4096.png,G2,2048,4096,4,8,512,512,9x16
G2_size_512_2048_4608.png,G2,2048,4608,4,9,512,512,"9x17, 9x18"
G2_size_512_2048_5120.png,G2,2048,5120,4,10,512,512,"9x19, 9x20"
G2_size_512_2048_5632.png,G2,2048,5632,4,11,512,512,"9x21, 9x22"
G2_size_512_2048_6144.png,G2,2048,6144,4,12,512,512,9x23
G2_size_512_2048_6656.png,G2,2048,6656,4,13,512,512,"9x24, 9x25"
G2_size_512_2560_1536.png,G2,2560,1536,5,3,512,512,"10x7, 11x7, 11x8, 10x8"
G2_size_512_2560_2048.png,G2,2560,2048,5,4,512,512,"11x9, 10x9"
G2_size_512_2560_2560.png,G2,2560,2560,5,5,512,512,"11x10, 10x10, 10x11"
G2_size_512_2560_3072.png,G2,2560,3072,5,6,512,512,"10x12, 11x12, 10x13, 11x13"
G2_size_512_2560_3584.png,G2,2560,3584,5,7,512,512,"10x14, 11x14, 10x15, 11x15"
G2_size_512_2560_4096.png,G2,2560,4096,5,8,512,512,"11x16, 10x16"
G2_size_512_2560_4608.png,G2,2560,4608,5,9,512,512,"11x17, 10x17, 10x18, 11x18"
