patch_filename,image_name,x,y,i,j,width,height,points
H2_size_512_512_5632.png,H2,512,5632,1,11,512,512,4x22
H2_size_512_512_6144.png,H2,512,6144,1,12,512,512,4x23
H2_size_512_512_6656.png,H2,512,6656,1,13,512,512,"4x24, 4x25"
H2_size_512_512_7168.png,H2,512,7168,1,14,512,512,"4x26, 4x27, 3x27"
H2_size_512_512_7680.png,H2,512,7680,1,15,512,512,"4x28, 3x28, 3x29, 4x29"
H2_size_512_512_8192.png,H2,512,8192,1,16,512,512,"4x30, 3x30"
H2_size_512_512_8704.png,H2,512,8704,1,17,512,512,"3x31, 4x31, 4x32, 3x32"
H2_size_512_512_9216.png,H2,512,9216,1,18,512,512,"4x33, 3x33"
H2_size_512_1024_2560.png,H2,1024,2560,2,5,512,512,6x11
H2_size_512_1024_3072.png,H2,1024,3072,2,6,512,512,"6x12, 6x13"
H2_size_512_1024_3584.png,H2,1024,3584,2,7,512,512,"6x14, 6x15"
H2_size_512_1024_4096.png,H2,1024,4096,2,8,512,512,6x16
H2_size_512_1024_4608.png,H2,1024,4608,2,9,512,512,"5x17, 6x17, 6x18, 5x18"
H2_size_512_1024_5120.png,H2,1024,5120,2,10,512,512,"5x19, 6x19, 5x20, 6x20"
H2_size_512_1024_5632.png,H2,1024,5632,2,11,512,512,"5x21, 6x21, 5x22, 6x22"
H2_size_512_1024_6144.png,H2,1024,6144,2,12,512,512,"5x23, 6x23"
H2_size_512_1024_6656.png,H2,1024,6656,2,13,512,512,"6x24, 5x24, 5x25, 6x25"
H2_size_512_1024_7168.png,H2,1024,7168,2,14,512,512,"5x26, 6x26, 5x27, 6x27"
H2_size_512_1024_7680.png,H2,1024,7680,2,15,512,512,"5x28, 6x28, 5x29, 6x29"
H2_size_512_1024_8192.png,H2,1024,8192,2,16,512,512,"6x30, 5x30"
H2_size_512_1024_8704.png,H2,1024,8704,2,17,512,512,"5x31, 6x31, 5x32, 6x32"
H2_size_512_1024_9216.png,H2,1024,9216,2,18,512,512,"6x33, 5x33"
H2_size_512_1536_2560.png,H2,1536,2560,3,5,512,512,"8x11, 7x11"
H2_size_512_1536_3072.png,H2,1536,3072,3,6,512,512,"8x12, 7x12, 8x13, 7x13"
H2_size_512_1536_3584.png,H2,1536,3584,3,7,512,512,"8x14, 7x14, 8x15, 7x15"
H2_size_512_1536_4096.png,H2,1536,4096,3,8,512,512,"7x16, 8x16"
H2_size_512_1536_4608.png,H2,1536,4608,3,9,512,512,"8x17, 7x17, 8x18, 7x18"
H2_size_512_1536_5120.png,H2,1536,5120,3,10,512,512,"7x19, 8x19, 7x20, 8x20"
H2_size_512_1536_5632.png,H2,1536,5632,3,11,512,512,"7x21, 8x21, 8x22, 7x22"
H2_size_512_1536_6144.png,H2,1536,6144,3,12,512,512,"8x23, 7x23"
H2_size_512_1536_6656.png,H2,1536,6656,3,13,512,512,"8x24, 7x24, 7x25, 8x25"
H2_size_512_1536_7168.png,H2,1536,7168,3,14,512,512,"8x26, 7x26, 8x27, 7x27"
H2_size_512_1536_7680.png,H2,1536,7680,3,15,512,512,"7x28, 8x28, 8x29, 7x29"
H2_size_512_1536_8192.png,H2,1536,8192,3,16,512,512,"8x30, 7x30"
H2_size_512_1536_8704.png,H2,1536,8704,3,17,512,512,"8x31, 7x31, 8x32, 7x32"
H2_size_512_1536_9216.png,H2,1536,9216,3,18,512,512,"7x33, 8x33, 8x34, 7x34"
H2_size_512_2048_2560.png,H2,2048,2560,4,5,512,512,9x11
H2_size_512_2048_3072.png,H2,2048,3072,4,6,512,512,"9x12, 9x13"
H2_size_512_2048_3584.png,H2,2048,3584,4,7,512,512,"9x14, 9x15"
H2_size_512_2048_4096.png,H2,2048,4096,4,8,512,512,9x16
H2_size_512_2048_4608.png,H2,2048,4608,4,9,512,512,"9x17, 9x18"
H2_size_512_2048_5120.png,H2,2048,5120,4,10,512,512,"9x19, 9x20"
H2_size_512_2048_5632.png,H2,2048,5632,4,11,512,512,"9x21, 9x22"
H2_size_512_2048_6144.png,H2,2048,6144,4,12,512,512,9x23
H2_size_512_2048_6656.png,H2,2048,6656,4,13,512,512,"9x24, 9x25"
H2_size_512_2048_7168.png,H2,2048,7168,4,14,512,512,"9x26, 9x27"
H2_size_512_2048_7680.png,H2,2048,7680,4,15,512,512,"9x28, 9x29"
